"","ID","COUNT","MONTH","DATE","TIME","TYPE","COUNT_DAY","SESSION","LATITUDE","LONGITUDE","SPECIES","NUMBER","coords.x1","coords.x2"
"8",35099,2016,"October","10/18/2016","10:52:05 AM","Helicopter",1,2,-19.0002,34.313,"Warthog",1,638202.540379881,7898634.80053633
"9",35100,2016,"October","10/18/2016","10:53:18 AM","Helicopter",1,2,-19.0019,34.3094,"Elephant",8,637822.162346749,7898449.48441296
"11",35102,2016,"October","10/18/2016","10:55:48 AM","Helicopter",1,2,-18.9884,34.3006,"Warthog",1,636906.823901866,7899950.4055239
"13",35165,2016,"October","10/18/2016","11:20:14 AM","Helicopter",1,2,-18.9843,34.3027,"Impala",1,637131.266284848,7900402.51935252
"14",35166,2016,"October","10/18/2016","11:20:16 AM","Helicopter",1,2,-18.9846,34.3029,"Nyala",1,637152.0769071,7900369.1624782
"15",35167,2016,"October","10/18/2016","11:20:28 AM","Helicopter",1,2,-18.9857,34.3048,"Common reedbuck",4,637351.209136715,7900245.94393322
"27",35223,2016,"October","10/18/2016","03:15:00 PM","Helicopter",1,3,-18.9731,34.3004,"Impala",1,636898.269891153,7901643.81494569
"28",35224,2016,"October","10/18/2016","03:15:03 PM","Helicopter",1,3,-18.9735,34.3011,"Warthog",1,636971.644830426,7901599.00279927
"29",35225,2016,"October","10/18/2016","03:15:05 PM","Helicopter",1,3,-18.9737,34.3016,"Blue wildebeest",1,637024.125369093,7901576.47994376
"30",35226,2016,"October","10/18/2016","03:15:10 PM","Helicopter",1,3,-18.9744,34.303,"Warthog",1,637170.955657372,7901497.92128454
"31",35227,2016,"October","10/18/2016","03:15:35 PM","Helicopter",1,3,-18.9771,34.3084,"Oribi",2,637737.289931557,7901194.8976397
"32",35228,2016,"October","10/18/2016","03:15:37 PM","Helicopter",1,3,-18.9774,34.3091,"Oribi",1,637810.743462185,7901161.14896192
"33",35229,2016,"October","10/18/2016","03:16:08 PM","Helicopter",1,3,-18.9811,34.3155,"Nyala",2,638481.515767387,7900746.64761621
"34",35230,2016,"October","10/18/2016","03:16:41 PM","Helicopter",1,3,-18.9816,34.316,"Common reedbuck",2,638533.744198754,7900690.91898008
"35",35231,2016,"October","10/18/2016","03:16:53 PM","Helicopter",1,3,-18.9827,34.3186,"Bushbuck",1,638806.56993623,7900567.13361736
"36",35232,2016,"October","10/18/2016","03:17:00 PM","Helicopter",1,3,-18.9835,34.3201,"Common reedbuck",1,638963.830639556,7900477.41378143
"37",35233,2016,"October","10/18/2016","03:17:54 PM","Helicopter",1,3,-18.9877,34.3266,"Nyala",12,639644.665308295,7900007.45233592
"38",35234,2016,"October","10/18/2016","03:20:19 PM","Helicopter",1,3,-18.9853,34.3328,"Waterbuck",2,640299.412612767,7900268.13399719
"39",35235,2016,"October","10/18/2016","03:20:52 PM","Helicopter",1,3,-18.9859,34.3327,"Waterbuck",10,640288.381864331,7900201.81085323
"40",35236,2016,"October","10/18/2016","03:21:14 PM","Helicopter",1,3,-18.986,34.3334,"Waterbuck",2,640361.995014438,7900190.18577613
"41",35237,2016,"October","10/18/2016","03:21:23 PM","Helicopter",1,3,-18.9858,34.3315,"Hartebeest",7,640162.127948591,7900213.83376702
"42",35238,2016,"October","10/18/2016","03:21:26 PM","Helicopter",1,3,-18.9855,34.3308,"Waterbuck",3,640088.681921075,7900247.59229908
"43",35239,2016,"October","10/18/2016","03:21:27 PM","Helicopter",1,3,-18.9851,34.3305,"Warthog",1,640057.431950646,7900292.09949938
"44",35240,2016,"October","10/18/2016","03:21:31 PM","Helicopter",1,3,-18.9844,34.3302,"Common reedbuck",2,640026.432627777,7900369.8080197
"45",35241,2016,"October","10/18/2016","03:21:35 PM","Helicopter",1,3,-18.9834,34.3298,"Waterbuck",2,639985.155472606,7900480.79734808
"46",35242,2016,"October","10/18/2016","03:21:46 PM","Helicopter",1,3,-18.9819,34.3276,"Oribi",2,639754.784763679,7900648.55168946
"47",35243,2016,"October","10/18/2016","03:22:04 PM","Helicopter",1,3,-18.9796,34.3231,"Oribi",3,639282.920632336,7900906.66031585
"48",35244,2016,"October","10/18/2016","03:22:12 PM","Helicopter",1,3,-18.9786,34.321,"Oribi",1,639062.652209093,7901018.99072599
"49",35245,2016,"October","10/18/2016","03:22:29 PM","Helicopter",1,3,-18.9764,34.3167,"Baboon troop",1,638611.744527146,7901265.8559926
"50",35246,2016,"October","10/18/2016","03:22:31 PM","Helicopter",1,3,-18.9762,34.3163,"Nyala",1,638569.795196826,7901288.30485706
