"StudySite","Operation"
"A06",70
"A08",70
"A10",70
"B05",70
"B07",70
"B09",70
"C06",70
"C08",70
"D03",70
"D05",70
"D07",32
"D09",15
"E02",70
"E04",70
"E06",70
"E08",70
"E10",70
"E12",70
"F01",70
"F03",70
"F05",23
"F07",70
"F09",70
"F11",70
"G02",46
"G04",70
"G06",70
"G08",70
"G10",70
"G12",70
"H03",70
"H05",70
"H07",70
"H09",70
"H11",70
"H13",70
"I04",70
"I06",70
"I08",70
"I10",70
"I12",70
"I14",70
"J03",70
"J05",70
"J07",70
"J09",70
"J11",69
"J13",70
"K04",27
"K06",70
"K08",70
"K10",70
"K12",70
"L05",70
"L07",70
"L09",54
"L11",70
"L13",70
"M08",70
"M10",70
