SppCode,GenusLatin,SpeciesLatin,CommName,Diet,Weight,Sociality,Family,Order
AEME,Aepyceros,melampus,Impala,Herbivore,52591.69,group,Bovidae,Artiodactyla
ALBU,Alcelaphus,buselaphus,Hartebeest,Herbivore,160937.86,group,Bovidae,Artiodactyla
ATPA,Atilax,paludinosus,Mongoose_marsh,Omnivore,3600.16,solitary,Herpestidae,Carnivora
BDCR,Bdeogale,crassicauda,Mongoose_bushy_tailed,Carnivore,1722.13,solitary,Herpestidae,Carnivora
CEAL,Cercopithecus,albogularis,Samango,Omnivore,16,group,Cercopithecidae,Primates
CENA,Cephalophus,natalensis,Duiker_red,Herbivore,12724.51,solitary,Bovidae,Artiodactyla
CHPY,Chlorocebus,pygerythrus,Vervet,Omnivore,3695.99,group,Cercopithecidae,Primates
CICI,Civettictis,civetta,Civet,Omnivore,12075.58,solitary,Viverridae,Carnivora
COTA,Connochaetes,taurinus,Wildebeest,Herbivore,198619.68,group,Bovidae,Artiodactyla
GASA,Galerella,sanguinea,Mongoose_slender,Omnivore,543.83,solitary,Herpestidae,Carnivora
GEGE,Genetta,genetta,Genet,Omnivore,1756.17,solitary,Viverridae,Carnivora
HEIC,Herpestes,ichneumon,Mongoose_large_grey,Omnivore,2980.02,solitary,Herpestidae,Carnivora
HEPA,Helogale ,parvula,Mongoose_dwarf,Carnivore,281.83,group,Herpestidae,Carnivora
HIAM,Hippopotamus,amphibius,Hippopotamus,Omnivore,1536310.4,group,Hippopotamidae,Artiodactyla
HINI,Hippotragus,niger,Sable_antelope,Herbivore,236405.9,group,Bovidae,Artiodactyla
HYAF,Hystrix,africaeaustralis,Porcupine,Herbivore,14936.02,solitary,Hystricidae,Rodentia
ICAL,Ichneumia,albicauda,Mongoose_white_tailed,Carnivore,3628.4,solitary,Herpestidae,Carnivora
KOEL,Kobus,ellipsiprymnus,Waterbuck,Herbivore,204393.48,group,Bovidae,Artiodactyla
LEMI,Lepus,microtis,Hare,Herbivore,1763.61,solitary,Leporidae,Lagomorpha
LESE,Leptailurus,serval,Serval,Carnivore,11999.96,solitary,Felidae,Carnivora
LOAF,Loxodonta,africana,Elephant,Herbivore,3824539.93,group,Elephantidae,Proboscidea
MATE,Manis,temminckii,Pangolin,Carnivore,11943.74,solitary,Manidae,Pholidota
MECA,Mellivora,capensis,Honey_badger,Omnivore,8999.99,solitary,Mustelidae,Carnivora
MUMU,Mungos,mungo,Mongoose_banded,Carnivore,1260,group,Herpestidae,Carnivora
ORAF,Orycteropus,afer,Aardvark,Carnivore,56175.2,solitary,Orycteropodidae,Tubulidentata
OTCR,Otolemur,crassicaudatus,Bushbaby,Omnivore,1206.61,group,Galagidae,Primates
OUOU,Ourebia,ourebi,Oribi,Herbivore,17186.09,pair,Bovidae,Artiodactyla
PACY,Papio,cynocephalus,Baboon,Herbivore,15822.15,group,Cercopithecidae,Primates
PALE,Panthera,leo,Lion,Carnivore,158623.93,group,Felidae,Carnivora
PHAF,Phacochoerus,africanus,Warthog,Herbivore,82499.99,group,Suidae,Artiodactyla
POLA,Potamochoerus,larvatus,Bushpig,Omnivore,69063.79,group,Suidae,Artiodactyla
RERE,Redunca,redunca,Reedbuck,Herbivore,43288.95,group,Bovidae,Artiodactyla
SYCA,Syncerus,caffer,Buffalo,Herbivore,592665.98,group,Bovidae,Artiodactyla
SYGR,Sylvicapra,grimmia,Duiker_common,Herbivore,15639.15,solitary,Bovidae,Artiodactyla
TAOR,Taurotragus,oryx,Eland,Herbivore,562592.69,group,Bovidae,Artiodactyla
TRAN,Tragelaphus,angasii,Nyala,Herbivore,87616.76,group,Bovidae,Artiodactyla
TRST,Tragelaphus,strepsiceros,Kudu,Herbivore,206056.41,group,Bovidae,Artiodactyla
TRSY,Tragelaphus,sylvaticus,Bushbuck,Herbivore,43250.39,solitary,Bovidae,Artiodactyla
